p	SMOW9	MAXW9	VARW9	MEANB	MEANW9	MAXB	SMOB	ED	VARB	MO2B	BM	MINB	MO1B	HLEX	AMLEX	MO2W9	MO1W9	ALEX	LEX	MINW9	DLAB
0.005	11.45304463	11.45309942	11.45670395	11.45523563	11.45523563	11.45547689	11.45978357	11.44632943	11.46577902	11.46049177	11.4905242	11.47573876	11.4751977	11.58579261	11.58008453	11.49347504	11.49365799	11.56086501	11.58209995	11.58190301	11.83293567
0.025	15.8509183	15.85105071	15.85794023	15.85713547	15.85713547	15.85827143	15.86957202	15.8582047	15.8894266	15.88680237	16.03776921	15.98021075	15.979529	16.29521795	16.18328587	16.14835502	16.14927984	16.25314629	16.39379132	16.42576214	17.08937947
0.045	19.30753147	19.30735285	19.31484911	19.3166237	19.3166237	19.32200465	19.342273	19.34257116	19.37779881	19.38945022	19.66992198	19.60643541	19.60723715	20.03150031	19.97571678	19.96103002	19.96134233	20.06329589	20.28280518	20.3258159	21.38010924
0.065	21.90437724	21.9043406	21.909438	21.91339402	21.91339402	21.92321539	21.94781815	21.96014536	21.99444218	22.02370656	22.3773142	22.34440438	22.34483028	22.78281722	22.79244223	22.81239938	22.81386884	22.8881902	23.13112518	23.18073193	24.45965583
0.085	24.01244191	24.01232205	24.01616294	24.02059486	24.02059486	24.03539284	24.06310773	24.08414825	24.11645529	24.16470556	24.56400244	24.56423754	24.56719607	24.98502937	25.05108639	25.08298513	25.08295907	25.14795341	25.40162739	25.45377461	26.86811476
0.105	25.77478661	25.7750542	25.77642621	25.78057461	25.78057461	25.79942438	25.8293863	25.85835189	25.8902419	25.95194267	26.37521162	26.41407854	26.41917475	26.80826183	26.91488147	26.94329594	26.94503738	27.01439821	27.27032714	27.32637677	28.84176622
0.125	27.31383873	27.3142748	27.31381332	27.3196502	27.3196502	27.34132193	27.37240676	27.4085743	27.43403562	27.51241998	27.95933979	28.02023907	28.02752202	28.39150817	28.52644102	28.54714561	28.55144805	28.62841468	28.88440012	28.94280963	30.52806789
0.145	28.67234355	28.67257703	28.6718069	28.67582153	28.67582153	28.70064298	28.73202939	28.7731856	28.79827102	28.8868248	29.3401796	29.43768404	29.44509438	29.77953768	29.94245732	29.96793462	29.96930063	30.04468571	30.30094982	30.35977513	31.99989966
0.165	29.89140094	29.89191102	29.88998908	29.8942718	29.8942718	29.92186091	29.95295527	29.99897712	30.02132057	30.12130323	30.58753849	30.70517333	30.71598321	31.02270157	31.20640517	31.2291116	31.2291116	31.30592684	31.56590967	31.63290769	33.3063032
P	204.1806834	204.1819827	204.2071297	204.2333018	204.2333018	204.3576114	204.5693322	204.7304878	204.987771	205.3976472	208.4018015	208.5482018	208.5817646	211.6823667	212.1728008	212.1857324	212.1960057	212.9068762	214.8130358	215.2298568	226.3062319
