Filtro	0.005	0.025	0.045	0.065	0.085	0.105	0.125	0.145	0.165
SMOW9	18902076.05	19377628.31	20130759.01	20825377.92	21499147.87	21994746.62	22455801.97	22843171.11	23166874.63
MAXW9	18902230.5	19377801.38	20130920.22	20826135.68	21499380.61	21994873.71	22456154.42	22843425.1	23167296.8
VARW9	18907995.46	19383592.69	20136912.9	20831741.73	21506034.48	22002248.07	22463802.11	22851980.54	23173729.93
MEANB	18904801.3	19380800.95	20134206.87	20830349.62	21505834.62	22003479.21	22465873.78	22853173.16	23177840.82
MEANW9	18904801.3	19380800.95	20134206.87	20830349.62	21505834.62	22003479.21	22465873.78	22853173.16	23177840.82
MAXB	18920574.57	19387590.63	20144275.98	20840565.65	21518008.28	22016747.55	22487563.52	22870085.57	23197480.23
SMOB	18932342.82	19395767.1	20142699.19	20848124.13	21516559.09	22027966.41	22498257.28	22882748.37	23210823.29
ED	18926015.09	19401466.36	20143556.39	20855993.93	21516893.77	22026781	22497795.89	22882576.82	23209386.14
MO2W9	18920273.47	19395879.3	20141911.99	20850367.76	21511263.67	22035559.22	22512384.01	22902501.12	23237398.61
MO1W9	18920198.96	19395577.81	20141979.79	20849789.99	21511452.17	22035861.53	22512416.8	22902584.49	23238360.12
MO2B	18931838.5	19400160.36	20143812.63	20859205.04	21523261.47	22035467.65	22507832.03	22894836.91	23226359.74
VARB	18921365.82	19407787.53	20150527.14	20867989.65	21529865.22	22044857.61	22517820.36	22905484.75	23235461.7
MINB	18927571.32	19404101.98	20147896.83	20865438.67	21520157.56	22059036.7	22523620.98	22913123.9	23254901.4
BM	18933618.04	19407727.26	20159152.74	20873683.76	21532782.5	22046477.52	22517879.23	22902095.36	23230963.15
MO1B	18928480.79	19407211.84	20151365.76	20872166.34	21530711.78	22066577.75	22551103.09	22935481.67	23279433.71
AMLEX	18943195.83	19415471.84	20174195.51	20891123.21	21565046.48	22091336.14	22569820.79	22957709.34	23299110.29
LEX	18956931.72	19445225.25	20201963.18	20930180.81	21596292.79	22133074.53	22616858	23012077.02	23358080.87
MINW9	18944345.66	19430917.09	20188993.71	20927922.32	21593547.17	22151490.55	22641760.37	23049558.05	23408319.8
HLEX	18979477.29	19471750.81	20214962.48	20962507.43	21626380.61	22164509	22647127.42	23038858.21	23389232.39
ALEX	18955350.6	19442953.08	20207205.7	20948418.47	21632801.4	22188335.12	22682087.09	23096928.81	23457357.37
DLAB	19055868.53	19522178.11	20323864.81	21095713.32	21801253.8	22364300.72	22873742.34	23300072.43	23677477.53
