p	ED	MAXB	SMOB	VARW9	VARB	MEANB	MEANW9	MO2B	MAXW9	SMOW9	BM	MO1B	MINB	MO2W9	MO1W9	MINW9	ALEX	LEX	HLEX	DLAB	AMLEX
0.005	5.342419933	5.353760036	5.354894722	5.356478499	5.356884843	5.35745142	5.35745142	5.354890599	5.357777929	5.357492525	5.370257533	5.359406653	5.359692921	5.364409816	5.364403318	5.409546916	5.412557892	5.417867181	5.415715259	5.475418402	5.502817149
0.025	5.438300594	5.449179582	5.450195357	5.451493794	5.452107499	5.452530662	5.452530662	5.450373292	5.452689167	5.452471551	5.465440379	5.457389503	5.458696533	5.462683122	5.462712008	5.503907423	5.506427826	5.511401743	5.515580016	5.576327247	5.599463295
0.045	5.537631859	5.548532479	5.549425975	5.550698398	5.551118495	5.551491053	5.551491053	5.549756003	5.55162065	5.551485072	5.563836439	5.559026302	5.561005391	5.56727383	5.567460595	5.601902319	5.60414381	5.608988539	5.618731847	5.680393715	5.699473053
0.065	5.644061437	5.654797054	5.655598647	5.656750928	5.657136266	5.657279767	5.657279767	5.656485666	5.657417115	5.657393281	5.669231568	5.667362172	5.670233375	5.674665881	5.67507039	5.706925214	5.708794621	5.713169017	5.72874534	5.793556778	5.806072294
0.085	5.756679879	5.768283258	5.76897587	5.770196825	5.770488037	5.77046675	5.77046675	5.770248682	5.770655825	5.770731688	5.781199409	5.782568183	5.785990354	5.788741027	5.789111318	5.819203503	5.820835584	5.82505272	5.845350705	5.911725118	5.918933265
0.105	5.877075386	5.888673087	5.889173214	5.89043808	5.890355525	5.890484043	5.890484043	5.891111154	5.890636265	5.890799822	5.900910681	5.904380261	5.908668467	5.907336675	5.907444965	5.938911536	5.93968181	5.943813486	5.970421813	6.03828451	6.039078986
0.125	6.0119988	6.025142864	6.025712701	6.026676813	6.02707068	6.026862671	6.026862671	6.028229847	6.026740803	6.026986267	6.03500707	6.042457173	6.046869278	6.042620277	6.042805595	6.073477676	6.074576111	6.078340641	6.109397305	6.181218235	6.174542094
0.145	6.162446487	6.176216691	6.176620596	6.177558565	6.177681168	6.177590668	6.177590668	6.179960687	6.177536955	6.177828576	6.184347424	6.194499453	6.199228848	6.196273491	6.196466279	6.222630337	6.223796215	6.227249928	6.263878354	6.337988118	6.324267798
0.165	6.334592026	6.349812804	6.350142076	6.351073633	6.351120545	6.350879744	6.350879744	6.353824306	6.350989868	6.351326395	6.355669048	6.368934355	6.373903515	6.368398672	6.368677858	6.394959877	6.395716565	6.399121613	6.440067573	6.517572123	6.496060352
P	52.1052064	52.21439786	52.22073916	52.23136554	52.23396306	52.23503678	52.23503678	52.23488024	52.23606458	52.23651518	52.32589955	52.33602406	52.36428868	52.37240279	52.37415233	52.6714648	52.68653043	52.72500487	52.90788821	53.51248425	53.56070829
