p	SMOW9	MAXW9	VARW9	MAXB	MEANB	MEANW9	SMOB	MO2B	ED	VARB	MINB	MO1B	MO2W9	MO1W9	BM	ALEX	AMLEX	HLEX	MINW9	LEX	DLAB
0.005	10.80050831	10.80082944	10.80511653	10.80431312	10.80419678	10.80419678	10.80882635	10.80695544	10.80445561	10.81664197	10.81420865	10.81408069	10.82395302	10.82407705	10.85339033	10.91883345	10.97117045	10.97384259	10.891598	10.9466277	11.11900439
0.025	11.72794174	11.72812829	11.73177469	11.73156577	11.73164051	11.73164051	11.73612239	11.73453013	11.73472059	11.74402735	11.74278964	11.74306827	11.75383491	11.75384285	11.78520692	11.84882751	11.8931383	11.90518592	11.8357776	11.87837221	12.05811944
0.045	12.72124686	12.72151404	12.72552788	12.7259692	12.72633312	12.72633312	12.73087903	12.72982638	12.73242758	12.74034438	12.74067143	12.7414333	12.75749786	12.75778415	12.80061176	12.87872349	12.90799214	12.94358473	12.88288703	12.92249933	13.12807162
0.065	13.691976	13.6923138	13.6972626	13.69754075	13.69895944	13.69895944	13.70392668	13.70317999	13.70804893	13.71651548	13.71875929	13.72106849	13.74542358	13.74550199	13.80448849	13.90829365	13.92078672	13.9761638	13.93624845	13.97266515	14.22225432
0.085	14.63695429	14.63728519	14.64303886	14.64400703	14.64613049	14.64613049	14.6514441	14.65169356	14.65821167	14.6672805	14.67386517	14.6771962	14.71010488	14.71068478	14.78766685	14.92212579	14.91972905	14.98780046	14.98076552	15.00735475	15.31837864
0.105	15.50687185	15.50715431	15.51405528	15.51511808	15.51799999	15.51799999	15.52403588	15.52468225	15.53350237	15.54338979	15.55554632	15.56153945	15.60244819	15.60278765	15.69601179	15.86091529	15.84795335	15.91598304	15.95607995	15.96464698	16.34878408
0.125	16.3475753	16.34806834	16.35512855	16.35796731	16.36154939	16.36154939	16.36816847	16.36982891	16.38013821	16.39091269	16.41081101	16.41881547	16.47095705	16.47121038	16.5729568	16.77225762	16.74822942	16.81363219	16.90190936	16.89053267	17.35468093
0.145	17.13328329	17.133674	17.1419531	17.14424015	17.14912855	17.14912855	17.15618841	17.15916065	17.17105783	17.18174528	17.21162991	17.22135392	17.28483332	17.28525387	17.39381979	17.62192472	17.58980376	17.64620273	17.79621317	17.75593275	18.2944216
0.165	17.873856	17.87434598	17.88264962	17.88570119	17.8917509	17.8917509	17.8985091	17.90325803	17.91748413	17.92682124	17.96845601	17.98014465	18.05393225	18.05576678	18.16688197	18.42372834	18.3843508	18.42716215	18.63401161	18.56911462	19.18735174
P	130.4402136	130.4433134	130.4965071	130.5064226	130.5276892	130.5276892	130.5781004	130.5831153	130.6400469	130.7276787	130.8367374	130.8787004	131.2029851	131.2069095	131.8610347	133.1556299	133.183154	133.5895576	133.8154907	133.9077462	137.0310668
